%Molecule Name    : Toluene
%Description      :  p-silicalite gcmc final run
%Temperature      :     300.00
%Max Loading/uc   :       8.00
%Number of Points : 4001
%Type of file     :    2
%  Pressure     N         sigma      
%  kpa          mol/uc    ,ol/uc     
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E-005  2.300000000000000E-003  2.322120533481285E-003
  2.000000000000000E-005  4.865446401775419E-003  4.644241066962570E-003
  3.000000000000000E-005  7.541651882055208E-003  7.154468456272839E-003
  4.000000000000000E-005  1.029242116893451E-002  9.664695845583108E-003
  5.000000000000000E-005  1.310000000000000E-002  1.227467252093400E-002
  6.000000000000001E-005  1.564052855923025E-002  1.488464919628489E-002
  7.000000000000001E-005  1.816925826096827E-002  1.748051243375196E-002
  8.000000000000001E-005  2.068793098359095E-002  2.007637567121904E-002
  9.000000000000001E-005  2.319784381899490E-002  2.265406636811754E-002
  1.000000000000000E-004  2.570000000000000E-002  2.523175706501605E-002
  1.100000000000000E-004  2.839654725205428E-002  2.781310190472945E-002
  1.200000000000000E-004  3.110462226858241E-002  3.039444674444285E-002
  1.300000000000000E-004  3.382330539497124E-002  3.299612453372047E-002
  1.400000000000000E-004  3.655181584866179E-002  3.559780232299808E-002
  1.500000000000000E-004  3.928948226172341E-002  3.821701429359130E-002
  1.600000000000000E-004  4.203572103322038E-002  4.083622626418452E-002
  1.700000000000000E-004  4.479002005848069E-002  4.347086534664042E-002
  1.800000000000000E-004  4.755192625988620E-002  4.610550442909631E-002
  1.900000000000000E-004  5.032103586785690E-002  4.875392531337399E-002
  2.000000000000000E-004  5.309698673182877E-002  5.140234619765167E-002
  2.100000000000000E-004  5.587945215641158E-002  5.406322752420429E-002
  2.200000000000000E-004  5.866813590163716E-002  5.672410885075690E-002
  2.300000000000000E-004  6.146276808430319E-002  5.939636547563799E-002
  2.400000000000000E-004  6.426310178573798E-002  6.206862210051908E-002
  2.500000000000000E-004  6.706891021976155E-002  6.475134653085009E-002
  2.600000000000000E-004  6.987998434954787E-002  6.743407096118111E-002
  2.700000000000000E-004  7.269613086764895E-002  7.012649274016697E-002
  2.800000000000000E-004  7.551717047239857E-002  7.281891451915282E-002
