%Molecule Name    : M-Xylene
%Description      :  p-silicalite gcmc final run
%Temperature      :     300.00
%Max Loading/uc   :       6.00
%Number of Points : 4001
%Type of file     :    2
%  Pressure     N         sigma      
%  kpa          mol/uc    ,ol/uc     
  5.550000000000000E-004  0.361863886336748       0.329150090001254     
  5.600000000000001E-004  0.365944307249964       0.332410116739174     
  5.650000000000001E-004  0.370033855407455       0.335684744608162     
  5.700000000000001E-004  0.374132470181119       0.338959372477149     
  5.750000000000001E-004  0.378240091874480       0.342248408977200     
  5.800000000000000E-004  0.382356661700383       0.345537445477250     
  5.850000000000000E-004  0.386482121759420       0.348840703929206     
  5.900000000000000E-004  0.390616415019037       0.352143962381163     
  5.950000000000000E-004  0.394759485293314       0.355461261654796     
  6.000000000000001E-004  0.398911277223381       0.358778560928429     
  6.050000000000001E-004  0.403071736258441       0.362109725187551     
  6.100000000000001E-004  0.407240808637394       0.365440889446674     
  6.150000000000001E-004  0.411418441371013       0.368785747909959     
  6.200000000000000E-004  0.415604582224669       0.372130606373245     
  6.250000000000000E-004  0.419799179701586       0.375488993089543     
  6.300000000000000E-004  0.424002183026588       0.378847379805841     
  6.350000000000000E-004  0.428213542130334       0.382219133442898     
  6.400000000000001E-004  0.432433207634023       0.385590887079956     
  6.450000000000001E-004  0.436661130834543       0.388975850725543     
  6.500000000000001E-004  0.440897263690053       0.392360814371129     
  6.550000000000001E-004  0.445141558805982       0.395758835345658     
  6.600000000000001E-004  0.449393969421428       0.399156856320188     
  6.650000000000000E-004  0.453654449395948       0.402567786000011     
  6.700000000000000E-004  0.457922953196714       0.405978715679834     
  6.750000000000000E-004  0.462199435886031       0.409402409330438     
  6.800000000000000E-004  0.466483853109211       0.412826102981043     
  6.850000000000001E-004  0.470776161082763       0.416262419599475     
  6.900000000000001E-004  0.475076316582927       0.419698736217906     
  6.950000000000001E-004  0.479384276934505       0.423147538383764     
  7.000000000000001E-004  0.483700000000000       0.426596340549621     
  7.050000000000000E-004  0.490382141930897       0.430074226124575     
  7.100000000000000E-004  0.497108392011381       0.433552111699529     
  7.150000000000000E-004  0.503878727698565       0.437075737238810     
  7.200000000000000E-004  0.510693126619164       0.440599362778090     
  7.250000000000001E-004  0.517551566567042       0.444168682028176     
  7.300000000000001E-004  0.524454025500819       0.447738001278262     
  7.350000000000001E-004  0.531400481541523       0.451352968669484     
  7.400000000000001E-004  0.538390912970296       0.454967936060706     
  7.450000000000001E-004  0.545425298226138       0.458628506687974     
  7.500000000000000E-004  0.552503615903714       0.462289077315243     
  7.550000000000000E-004  0.559625844751188       0.465995206919568     
  7.600000000000000E-004  0.566791963668117       0.469701336523892     
  7.650000000000001E-004  0.574001951703375       0.473452981474653     
  7.700000000000001E-004  0.581255788053127       0.477204626425414     
  7.750000000000001E-004  0.588553452058840       0.481001743703346     
  7.800000000000001E-004  0.595894923205335       0.484798860981278     
  7.850000000000001E-004  0.603280181118878       0.488641408162128     
  7.900000000000000E-004  0.610709205565304       0.492483955342978     
  7.950000000000000E-004  0.618181976448185       0.496371890581805     
  8.000000000000000E-004  0.625698473807027       0.500259825820631     
  8.050000000000001E-004  0.633258677815505       0.504193107836705     
  8.100000000000001E-004  0.640862568779729       0.508126389852779     
  8.150000000000001E-004  0.648510127136549       0.512104977915067     
  8.200000000000001E-004  0.656201333451885       0.516083565977354     
  8.250000000000001E-004  0.663936168419093       0.520107419890543     
  8.300000000000001E-004  0.671714612857356       0.524131273803732     
  8.350000000000000E-004  0.679536647710116       0.528200353894779     
  8.400000000000000E-004  0.687402254043519       0.532269433985827     
  8.450000000000000E-004  0.695311413044906       0.536383701091000     
  8.500000000000001E-004  0.703264106021316       0.540497968196173     
  8.550000000000001E-004  0.711260314398025       0.544657383648565     
  8.600000000000001E-004  0.719300019717109       0.548816799100957     
  8.650000000000001E-004  0.727383203636036       0.553021324718447     
  8.700000000000001E-004  0.735509847926274       0.557225850335937     
  8.750000000000000E-004  0.743679934471935       0.561475448409581     
  8.800000000000000E-004  0.751893445268435       0.565725046483225     
  8.850000000000000E-004  0.760150362421180       0.570019679766050     
  8.900000000000001E-004  0.768450668144274       0.574314313048875     
  8.950000000000001E-004  0.776794344759252       0.578653944745069     
  9.000000000000001E-004  0.785181374693834       0.582993576441262     
  9.050000000000001E-004  0.793611740480695       0.587378170195726     
  9.100000000000001E-004  0.802085424756265       0.591762763950190     
  9.150000000000001E-004  0.810602410259541       0.596192283838453     
  9.200000000000000E-004  0.819162679830922       0.600621803726716     
  9.250000000000000E-004  0.827766216411070       0.605096214245183     
  9.300000000000001E-004  0.836413003039778       0.609570624763651     
  9.350000000000001E-004  0.845103022854864       0.614089890820178     
  9.400000000000001E-004  0.853836259091082       0.618609156876705     
  9.450000000000001E-004  0.862612695079054       0.623173243781481     
  9.500000000000001E-004  0.871432314244212       0.627737330686257     
  9.550000000000001E-004  0.880295100105762       0.632346204142985     
  9.600000000000001E-004  0.889201036275668       0.636955077599713     
  9.650000000000000E-004  0.898150106457641       0.641608703697072     
  9.700000000000001E-004  0.907142294446161       0.646262329794430     
  9.750000000000001E-004  0.916177584125496       0.650960674997810     
  9.800000000000002E-004  0.925255959468752       0.655659020201190     
  9.850000000000000E-004  0.934377404536926       0.660402051344690     
  9.900000000000000E-004  0.943541903477986       0.665145082488189     
  9.950000000000000E-004  0.952749440525952       0.669932766766858     
  1.000000000000000E-003  0.962000000000000       0.674720451045527     
  1.005000000000000E-003  0.966039061055370       0.679526619206829     
  1.010000000000000E-003  0.970074909345046       0.684332787368131     
  1.015000000000000E-003  0.974107563310516       0.689131350393913     
  1.020000000000000E-003  0.978137041197126       0.693929913419696     
  1.025000000000000E-003  0.982163361057114       0.698720957730501     
  1.030000000000000E-003  0.986186540752586       0.703512002041307     
  1.035000000000000E-003  0.990206597958431       0.708295612246735     
  1.040000000000000E-003  0.994223550165179       0.713079222452164     
  1.045000000000000E-003  0.998237414681799       0.717855481405854     
  1.050000000000000E-003   1.00224820863845       0.722631740359544     
  1.055000000000000E-003   1.00625594898915       0.727400729211986     
  1.060000000000000E-003   1.01026065251444       0.732169718064427     
  1.065000000000000E-003   1.01426233582396       0.736931516313693     
  1.070000000000000E-003   1.01826101535897       0.741693314562959     
  1.075000000000000E-003   1.02225670739485       0.746448000103475     
  1.080000000000000E-003   1.02624942804354       0.751202685643992     
  1.085000000000000E-003   1.03023919325590       0.755950334813424     
  1.090000000000000E-003   1.03422601882411       0.760697983982856     
  1.095000000000000E-003   1.03820992038390       0.765438671607211     
  1.100000000000000E-003   1.04219091341687       0.770179359231565     
  1.105000000000000E-003   1.04616901325268       0.774913158668583     
  1.110000000000000E-003   1.05014423507120       0.779646958105602     
  1.115000000000000E-003   1.05411659390466       0.784373941286532     
  1.120000000000000E-003   1.05808610463976       0.789100924467463     
  1.125000000000000E-003   1.06205278201968       0.793821161937282     
  1.130000000000000E-003   1.06601664064614       0.798541399407101     
  1.135000000000000E-003   1.06997769498134       0.803254960363251     
  1.140000000000000E-003   1.07393595934992       0.807968521319401     
  1.145000000000000E-003   1.07789144794087       0.812675473649120     
  1.150000000000000E-003   1.08184417480939       0.817382425978838     
  1.155000000000000E-003   1.08579415387872       0.822082836295136     
  1.160000000000000E-003   1.08974139894197       0.826783246611434     
  1.165000000000000E-003   1.09368592366388       0.831477180287785     
  1.170000000000000E-003   1.09762774158255       0.836171113964135     
  1.175000000000000E-003   1.10156686611116       0.840858635167929     
  1.180000000000000E-003   1.10550331053964       0.845546156371723     
  1.185000000000000E-003   1.10943708803634       0.850227328096548     
  1.190000000000000E-003   1.11336821164963       0.854908499821372     
  1.195000000000000E-003   1.11729669430950       0.859583383918159     
  1.200000000000000E-003   1.12122254882913       0.864258268014946     
  1.205000000000000E-003   1.12514578790641       0.868926925222045     
  1.210000000000000E-003   1.12906642412547       0.873595582429143     
  1.215000000000000E-003   1.13298446995816       0.878258072401355     
  1.220000000000000E-003   1.13689993776551       0.882920562373567     
  1.225000000000000E-003   1.14081283979915       0.887576943710197     
  1.230000000000000E-003   1.14472318820274       0.892233325046827     
  1.235000000000000E-003   1.14863099501336       0.896883655318780     
  1.240000000000000E-003   1.15253627216285       0.901533985590733     
  1.245000000000000E-003   1.15643903147915       0.906178321366708     
  1.250000000000000E-003   1.16033928468767       0.910822657142683     
  1.255000000000000E-003   1.16423704341251       0.915461054014491     
  1.260000000000000E-003   1.16813231917778       0.920099450886299     
  1.265000000000000E-003   1.17202512340886       0.924731963493350     
  1.270000000000000E-003   1.17591546743360       0.929364476100401     
  1.275000000000000E-003   1.17980336248356       0.933991158153385     
  1.280000000000000E-003   1.18368881969520       0.938617840206369     
  1.285000000000000E-003   1.18757185011103       0.943238744510172     
  1.290000000000000E-003   1.19145246468080       0.947859648813974     
  1.295000000000000E-003   1.19533067426260       0.952474827289850     
  1.300000000000000E-003   1.19920648962401       0.957090005765726     
  1.305000000000000E-003   1.20307992144318       0.961699509472768     
  1.310000000000000E-003   1.20695098030992       0.966309013179811     
  1.315000000000000E-003   1.21081967672676       0.970912892335733     
  1.320000000000000E-003   1.21468602111000       0.975516771491654     
  1.325000000000000E-003   1.21855002379075       0.980115075492921     
  1.330000000000000E-003   1.22241169501594       0.984713379494188     
  1.335000000000000E-003   1.22627104494930       0.989306156935518     
  1.340000000000000E-003   1.23012808367238       0.993898934376848     
  1.345000000000000E-003   1.23398282118550       0.998486233070108     
  1.350000000000000E-003   1.23783526740870        1.00307353176337     
  1.355000000000000E-003   1.24168543218270        1.00765539875589     
  1.360000000000000E-003   1.24553332526978        1.01223726574841     
  1.365000000000000E-003   1.24937895635474        1.01681374734073     
  1.370000000000000E-003   1.25322233504579        1.02139022893306     
  1.375000000000000E-003   1.25706347087539        1.02596137069617     
  1.380000000000000E-003   1.26090237330117        1.03053251245928     
  1.385000000000000E-003   1.26473905170676        1.03509835925128     
  1.390000000000000E-003   1.26857351540264        1.03966420604328     
  1.395000000000000E-003   1.27240577362697        1.04422480202561     
  1.400000000000000E-003   1.27623583554642        1.04878539800793     
  1.405000000000000E-003   1.28006371025697        1.05334078666106     
  1.410000000000000E-003   1.28388940678468        1.05789617531419     
  1.415000000000000E-003   1.28771293408651        1.06244639945288     
  1.420000000000000E-003   1.29153430105109        1.06699662359158     
  1.425000000000000E-003   1.29535351649943        1.07154172537972     
  1.430000000000000E-003   1.29917058918575        1.07608682716786     
  1.435000000000000E-003   1.30298552779814        1.08062684813278     
  1.440000000000000E-003   1.30679834095934        1.08516686909771     
  1.445000000000000E-003   1.31060903722742        1.08970185014421     
  1.450000000000000E-003   1.31441762509654        1.09423683119072     
  1.455000000000000E-003   1.31822411299757        1.09876681261458     
  1.460000000000000E-003   1.32202850929885        1.10329679403844     
  1.465000000000000E-003   1.32583082230683        1.10782181553961     
  1.470000000000000E-003   1.32963106026673        1.11234683704078     
  1.475000000000000E-003   1.33342923136322        1.11686693773619     
  1.480000000000000E-003   1.33722534372105        1.12138703843161     
  1.485000000000000E-003   1.34101940540571        1.12590225686760     
  1.490000000000000E-003   1.34481142442405        1.13041747530359     
  1.495000000000000E-003   1.34860140872490        1.13492784946802     
  1.500000000000000E-003   1.35238936619966        1.13943822363245     
  1.505000000000000E-003   1.35617530468296        1.14394379096643     
  1.510000000000000E-003   1.35995923195321        1.14844935830042     
  1.515000000000000E-003   1.36374115573320        1.15295015570978     
  1.520000000000000E-003   1.36752108369069        1.15745095311915     
  1.525000000000000E-003   1.37129902343896        1.16194701698554     
  1.530000000000000E-003   1.37507498253741        1.16644308085194     
  1.535000000000000E-003   1.37884896849208        1.17093444704367     
  1.540000000000000E-003   1.38262098875621        1.17542581323541     
  1.545000000000000E-003   1.38639105073080        1.17991251711795     
  1.550000000000000E-003   1.39015916176511        1.18439922100049     
  1.555000000000000E-003   1.39392532915722        1.18888129744675     
  1.560000000000000E-003   1.39768956015453        1.19336337389300     
  1.565000000000000E-003   1.40145186195430        1.19784085729326     
  1.570000000000000E-003   1.40521224170411        1.20231834069352     
  1.575000000000000E-003   1.40897070650238        1.20679126496518     
  1.580000000000000E-003   1.41272726339891        1.21126418923684     
  1.585000000000000E-003   1.41648191939527        1.21573258783386     
  1.590000000000000E-003   1.42023468144538        1.22020098643087     
  1.595000000000000E-003   1.42398555645592        1.22466489235296     
  1.600000000000000E-003   1.42773455128682        1.22912879827505     
  1.605000000000000E-003   1.43148167275171        1.23358824407666     
  1.610000000000000E-003   1.43522692761839        1.23804768987827     
